Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2022-03-05,113,,4894.85071015358,24.0,24,0.4156866570837945,1.5427806377410889,0.2719799280166626,7702,,,,,,
2022-03-06,85,,4014.7895998954773,21.0,21,0.4513176757287836,2.471484899520874,0.2615191638469696,6619,,,,,,
2022-03-07,183,,8768.306573867798,47.0,47,0.4859254448998415,1.6369184255599976,0.2510583996772766,13957,,,,,,
2022-03-08,136,,6460.787169098854,33.0,33,0.44588794898507617,1.4547306299209595,0.2615191638469696,10161,,,,,,
2022-03-09,148,,5837.846661090851,13.0,13,0.40170003814393823,1.556617021560669,0.2510583996772766,9727,,,,,,
2022-03-10,109,,5508.181817293167,27.0,27,0.40198712918204144,1.5477298498153687,0.2510583996772766,8835,,,,,,
2022-03-11,124,,6097.7991778850555,36.0,36,0.3771859525720533,1.4786840677261353,0.2510583996772766,9845,,,,,,
2022-03-12,78,,3425.59427857399,11.0,9,0.36760961725482383,2.24635648727417,0.2510583996772766,5945,,,,,,
2022-03-13,119,,4154.467953681946,6.0,6,0.36666935069697154,2.04986572265625,0.24761070311069489,6844,,,,,,
2022-03-14,144,,6188.796765208244,24.0,24,0.373980145533644,1.3804548978805542,0.2510583996772766,10073,,,,,,
2022-03-15,129,48.34805412590504,5659.146110534668,25.0,25,0.42849598333292593,1.8785042762756348,0.2615191638469696,9066,,,,,627444,
2022-03-16,85,173.1356064081192,3312.5456268787384,5.0,5,0.4165270301532602,1.3806121349334717,0.24968259036540985,5723,,,,,1024784,
2022-03-17,113,359.6387605667114,4070.860084295273,6.0,6,0.37786940677587144,2.0609307289123535,0.2483738511800766,7105,,,,376750,2512635,
2022-03-18,99,102.18155717849731,3373.9048569202423,1.0,1,0.36813554460656966,1.6704869270324707,0.2510583996772766,5880,,,,,43110,578598
2022-03-19,124,167.35137557983398,3608.7141106128693,,,0.34504083200025026,1.224789023399353,0.2510583996772766,6238,,,,,1740140,148103
2022-03-20,42,404.05836284160614,1760.7084634647226,,,0.35947740717862214,1.3479539155960083,0.2510583996772766,3089,,,,,154229,
2022-03-21,230,268.5459962710738,8559.714561111094,35.0,35,0.4376288736723436,1.4580708742141724,0.2508313059806824,14211,,,,600000,2853517,
2022-03-22,92,448.3579312339425,5585.569554526701,38.0,34,0.43674364740119004,6.034311294555664,0.2586096227169037,8365,,,,,4755127,268010
2022-03-23,138,162.32068693637848,5499.3445291519165,12.0,12,0.44161675772224274,1.8593480587005615,0.2510583996772766,9153,,,,,2106542,
2022-03-24,153,258.61177357286215,7216.853244066238,36.0,36,0.4247374059001252,1.6496490240097046,0.25077930092811584,11675,,,,,3356176,
2022-03-25,178,293.72685635089874,8346.612314224243,34.0,34,0.4753174929394934,1.786911964416504,0.2615191638469696,13392,,,,,3811886,
2022-03-26,130,211.3617286682129,5903.9005489349365,30.0,30,0.4860513230475474,1.471261739730835,0.2510583996772766,9521,,,,,2742979,
2022-03-27,54,61.86812925338745,1681.4613847732544,9.0,9,0.32489413598361755,1.0812208652496338,0.2510583996772766,3192,,,,600000,171324,
2022-03-28,86,112.80100345611572,4193.438628315926,17.0,16,0.46031784689012367,2.0868141651153564,0.2510583996772766,6718,,,,,1463892,
2022-03-29,122,171.30147141218185,4308.91853249073,40.0,40,0.4513404316745307,1.5650641918182373,0.25005796551704407,7176,,,,1477078,78324,
2022-03-30,173,207.74869384616613,6654.085590183735,23.0,23,0.44041158816925113,1.7496000528335571,0.2487703561782837,10928,,,,,2551002,
2022-03-31,197,254.10064315795898,8160.494398117065,66.0,66,0.4684061164145119,1.4276691675186157,0.24843716621398926,13112,,,,1537742,750346,
2022-04-01,162,182.0584192276001,6916.890616893768,23.0,23,0.44684783617527885,1.480509638786316,0.2510583996772766,11395,,,,,2362691,
2022-04-02,109,276.2930107116699,5582.643347859383,32.0,32,0.4317798071812513,1.4410834312438965,0.2510583996772766,8837,,,,,1943564,694517
2022-04-03,102,202.38542753458023,5192.272433996201,27.0,27,0.4470988458439187,1.5358701944351196,0.2510583996772766,8212,,,,,2626488,
2022-04-04,206,165.82390689849854,9283.80648303032,32.0,32,0.42973121239149265,1.378475308418274,0.2510583996772766,14912,,,,,1548973,
2022-04-05,147,376.31894850730896,5725.228273391724,12.0,12,0.5090005997996716,1.559606671333313,0.2510583996772766,9212,,,,,4777558,
2022-04-06,79,111.64590406417847,3387.29160964489,7.0,7,0.4269544123934707,1.2803910970687866,0.2615191638469696,5797,,,,,1448901,
2022-04-07,94,234.90165174007416,4193.681640863419,13.0,13,0.4281585622836869,1.34827721118927,0.2510583996772766,6915,,,,,3048474,
2022-04-08,140,155.80026298761368,5902.816548705101,17.0,17,0.483742776923441,1.4196385145187378,0.2510583996772766,9864,,,,,2021922,
2022-04-09,208,466.7456507086754,9174.331504881382,30.0,30,0.5243676050478563,1.5360243320465088,0.2510583996772766,14708,,,,,6057264,
2022-04-10,21,46.90597575902939,747.4799309372902,,,0.3707602862544126,1.2675081491470337,0.2510583996772766,1600,,,,,608729,
2022-04-11,179,185.57889449596405,8752.836449444294,50.0,50,0.4859207673857359,1.5546566247940063,0.2510583996772766,13713,,,,,2408377,
2022-04-12,89,52.38873940706253,4149.1672721505165,18.0,18,0.5015564376284537,1.4764289855957031,0.2426852285861969,6871,,,,,679883,
2022-04-13,95,121.88638703525066,4281.8191842515835,16.0,16,0.47014791485474694,1.377432107925415,0.24560785293579102,7129,,,,,1581800,
2022-04-14,79,262.19538938999176,2945.754349164211,4.0,4,0.44628032940769624,1.5010008811950684,0.2615191638469696,5104,,,,,2966419,
2022-04-15,68,78.75707924365997,2774.9319593906403,1.0,1,0.3638659411814373,1.378154993057251,0.2510583996772766,4988,,,,,183991,
2022-04-16,30,18.72565460205078,1159.0777121782303,,,0.3520078080872571,1.3208683729171753,0.2510583996772766,2199,,,,,243015,
2022-04-17,66,49.64704489707947,1989.1567862033844,,,0.39303679253892176,1.274119257926941,0.2510583996772766,3558,,,,,644302,
2022-04-18,107,123.12610229849815,4896.906601190567,16.0,15,0.4337262477236828,1.9657930135726929,0.2470010221004486,7878,,,,,1551718,
2022-04-19,105,184.7582664489746,4212.739889383316,10.0,10,0.5161802739036038,1.4768798351287842,0.2604331970214844,7146,,,,,2397729,
2022-04-20,154,118.03654491901398,7638.25220143795,36.0,36,0.44611380116310617,1.5079362392425537,0.2510583996772766,12035,,,,,1531838,
2022-04-21,142,221.53816431760788,7135.322870254517,46.0,46,0.4496574323431578,1.501359462738037,0.2510583996772766,11169,,,,,2875045,
2022-04-22,200,493.9335821866989,8645.45115506649,51.0,51,0.4189963912698992,1.876192569732666,0.24925446510314941,13987,,,,932212,5428824,
2022-04-23,87,304.03441512584686,4472.903997123241,28.0,28,0.5958775205781038,1.5249075889587402,0.2615191638469696,7049,,,,,3945652,
2022-04-24,111,206.99155938625336,4291.060099482536,9.0,9,0.44391543702144687,1.2605271339416504,0.2510583996772766,7131,,,,,2686264,
2022-04-25,30,66.0645535364747,1116.1902208328247,,,0.4220660463628325,1.6688205003738403,0.24765951931476593,2280,,,,,857364,
2022-04-26,76,220.11582039296627,3699.2714891433716,17.0,17,0.3932752944110844,1.5153940916061401,0.2510583996772766,6382,,,,,2856587,
2022-04-27,18,67.52991434931755,773.3273622989655,,,0.4978404323191802,1.604256510734558,0.2615191638469696,1568,,,,,717116,
2022-04-28,21,35.68590068817139,952.7474799156189,,,0.41341108477716054,2.396223783493042,0.2510583996772766,1743,,,,,370923,
2022-04-29,62,180.6434569656849,3111.9548029899597,35.0,35,0.372842051766801,1.5344619750976562,0.2615191638469696,5123,,,,627231,1684086,
2022-04-30,30,,1085.7389404773712,,,0.39638719849838255,1.853476881980896,0.2510583996772766,2061,,,,,,
2022-05-01,39,8.033811569213867,1428.0895352363586,1.0,1,0.3726614387062857,1.337185263633728,0.2510583996772766,2765,,,,,104260,
2022-05-02,70,20.011502981185913,3462.4051728248596,21.0,21,0.5791424764296468,1.3611088991165161,0.2507358193397522,5697,,,,,118706,
2022-05-03,21,28.19686269760132,856.9096055381779,,,0.395221210862429,2.0868566036224365,0.2510583996772766,1706,,,,,365929,
2022-05-04,161,70.8008828163147,3734.7279560214993,1.0,1,0.3648164891036334,1.6222459077835083,0.2615191638469696,6278,,,,,918830,
2022-05-05,94,57.456411838531494,3337.796094417572,4.0,4,0.41877753909501436,1.3465285301208496,0.2441854327917099,5691,,,,,745650,
2022-05-06,51,9.148189544677734,2285.651234121963,1.0,1,0.370194212948499,1.6183439493179321,0.2510583996772766,3849,,,,,118722,
2022-05-07,49,22.493825912475586,1633.6793329995426,,,0.508397101366408,1.202952265739441,0.2719799280166626,2914,,,,,291917,
2022-05-08,51,50.334999561309814,1885.2182095050812,,,0.3444266992425994,1.770448088645935,0.2510583996772766,3459,,,,,653230,
2022-05-09,117,270.30576515197754,5248.543567061424,27.0,19,0.5366608486574046,3.7857580184936523,0.2510583996772766,8202,,,,,3507934,
2022-05-10,55,54.283160507678986,2074.8290932178497,3.0,3,0.34254391710893733,1.375118374824524,0.2510583996772766,3666,,,,,704469,
2022-05-11,78,192.8305835723877,3640.3717975616455,4.0,4,0.34204180600527107,1.633744716644287,0.2510583996772766,6172,,,,,2502488,
2022-05-12,92,223.39139199256897,4110.44711738396,17.0,17,0.3500368200773051,1.4917432069778442,0.2510583996772766,7042,,,,,2899096,
2022-05-13,177,184.9508040845394,7893.156000916478,41.0,41,0.5206747818760767,1.4381041526794434,0.2510583996772766,12490,,,,,2084345,
2022-05-14,42,10.01991891860962,1527.445789694786,,,0.3191111760998103,0.9680609107017517,0.24972805380821228,2823,,,,,130035,
2022-05-15,56,277.4098482131958,2075.062970161438,1.0,1,0.40809592270249373,1.25263249874115,0.2495238333940506,3886,,,,,3600128,
2022-05-16,170,351.48058223724365,7816.572485983372,31.0,31,0.4389221038215849,1.4715231657028198,0.24906106293201447,12398,,,,,4561392,
2022-05-17,112,329.7857064306736,5520.129462003708,35.0,35,0.4295698439525409,1.5945309400558472,0.24833382666110992,8952,,,,,4138848,
2022-05-18,219,275.64098930358887,8682.229932069778,20.0,20,0.49062595001814086,1.518563151359558,0.25356796383857727,13751,,,,,2594185,
2022-05-19,141,160.9375195503235,5033.078680753708,11.0,11,0.3839783164031403,1.3456579446792603,0.2510583996772766,8350,,,,,337183,
2022-05-20,121,136.60250008106232,4300.36523270607,,,0.3470088772495235,1.3518332242965698,0.2510583996772766,7535,,,,,1772780,
2022-05-21,51,42.21909499168396,1824.7843177318573,,,0.4227489534398348,1.1770670413970947,0.2615191638469696,3307,,,,,547905,
2022-05-22,16,40.50680160522461,634.214144051075,,,0.4496187323679318,0.9867730140686035,0.2510583996772766,1390,,,,,234138,
2022-05-23,19,,812.1900615692139,,,0.37663136613093195,1.655638337135315,0.2510583996772766,1613,,,,,,
2022-05-24,39,44.42974200844765,1461.197527885437,,,0.3387456167844432,0.8147940039634705,0.2510583996772766,2575,,,,,386391,96369
2022-05-25,80,65.63763236999512,2990.372924685478,1.0,1,0.40026846541439387,1.3801499605178833,0.24726739525794983,5416,,,,,359197,
2022-05-26,76,155.65606021881104,2943.7215543985367,,,0.3612175091424512,1.2516969442367554,0.2615191638469696,5045,,,,,1879054,
2022-05-27,74,96.82815504074097,2384.0710339546204,9.0,9,0.3488696052798838,1.2515668869018555,0.2510583996772766,4160,,,,600000,274819,
2022-05-28,72,52.23224949836731,2574.12940967083,3.0,3,0.3775281036236825,1.579369068145752,0.2615191638469696,4827,,,,206392,352305,54868
2022-05-29,48,31.210258960723877,1711.0755891799927,,,0.331651561154595,1.179465651512146,0.2510583996772766,2981,,,,,212411,
2022-05-30,63,36.61659622192383,2135.14720505476,,,0.3530032727096359,1.3831896781921387,0.2510583996772766,3843,,,,,201346,67313
2022-05-31,23,,911.836181640625,,,0.3218373675393905,0.8284423351287842,0.2510583996772766,1647,,,,,,
2022-06-01,28,16.551456928253174,1171.0656089782715,,,0.3275670188845914,0.5737102627754211,0.2615191638469696,2127,,,,,214799,
2022-06-02,36,16.640050411224365,1487.0979150533676,,,0.41417446400552116,0.8630818128585815,0.2510583996772766,2741,,,,,74952,
2022-06-03,50,,1887.3895083069801,,,0.3635409071849594,1.0793269872665405,0.2414698451757431,3547,,,,,,
